labels,pos_tag,text
0,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,你是这样的光鲜亮丽，走在路上，成为焦点，哦，我是多么渴望，我能成为你，接受这些侧目的眼光，你一定是极幸福的，而我躲在在人群中，也像别人一样地注视你，你的一举一动，都带有特别的魅力，深深吸引着我，呐，我想成为你。
0,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,包公一看，原来是班唯一能三个人一起坐的小虎队，“向我们，提取指纹，多方便，哪像你，还要耗费一头牛？
0,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,强者和弱者像是南极和北极，在地图上相隔着左眼到右眼的间距，事实却隔着四个赤道的距离。
0,OOOOOOOOOOOOOOOOOOO,像失去孙悟空的唐僧一样无助，任人宰割。
1,OttOOOOOOOOOvvOOOOOOOOOOOOOOOOOOO,让孩子们学会顽强的生活像梅花一样傲立于雪中，去适应社会、创造未来。
1,OOOOOOOOOOOOttOOOOOOOOOOOOOOOvvOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,这是不是同样告诉我们，当我们有了理想之后，就不能像温室里的花朵一样了，我们要有吃苦、向上的精神，离开爸爸妈妈的宠爱，自立自强，去实现自己的理想。
1,OOOttOOOOOOOOOOOOOOOOvvO,这里的车子一辆接着一辆，首尾相连，就像一条长龙。
0,OOOOOOOOOOOOOOOOOO,齐铭之于易遥就像一直陪伴她的洋娃娃。
1,ttOOOOOOOvvOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,她们像一个个害羞的玉女，粉红色的胭脂脸，金黄色的花蕊，散发了出一阵阵淡淡的清香，引来了不少辛勤的蜜蜂和戏耍的蝴蝶。
0,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,六十多年了，台湾依旧漂泊在外，没能回到祖国妈妈的怀抱，不知道它是否像我一样的思念故乡，思念亲人。
1,OOOOOOOOOttOOOOOvvOOOOOOOOOOOOOOOOOOOOOOOOOOOO,我想让自己也变成像他们一样的一缕阳光，给予这个美丽的世界我所拥有的温暖，让它能照亮一方天地。
0,OOOOOOOOOOOOOOOOO,正好像是阴雨连天时突然太阳出来了。
0,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,今天我在放学回家的路上看见了一位拄着拐杖的老奶奶，这位老奶奶摇摇摆摆的走到了斑马线旁，她的样子像是想过马路。
1,tOOOOOOOOOOvvO,书就像打开知识大门的金钥匙。
1,tOOOOOOOOOOOOOOvOOOOOOOOOO,书是人们不可缺少的，它就像一扇门，一扇通向美好的门。
1,OOOttOOOOOOvvOOOOOOOOOOOO,远方的白帘就像一层层的历史，里面还藏有多少的秘密？
0,OOOOOOOOOOOOOOOO,（总感觉这像小学生的作文，呵呵！
0,OOOOOOOOOOOOOOO,相信你写文章已像呼吸一样正常。
0,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,其曰：我左看右看，上看下看，看了又看，怎么你一点都不像地球人，你是不是来自火星？
0,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,深山中的秋叶被岁月催红，一片片铺满在地，枯干的树枝并没有因此而无精打彩，反而像如释重负一样尽情的展现自己的身姿。
0,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,酸——每当考试成绩出来时，看到邻桌及班中状元的高分，自叹弗如，心里像吃了个酸杏，食之太酸，弃之可惜，胃口都要倒几天。
0,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,就像我们四年级二班这个大家庭的一位辛苦的家长，一直希望我们能好好学习，将来有出息。
1,OOOOOttOOOOOOOOvvOOOOOOOO,再看看那位妈妈，她也像热锅上的蚂蚁——急得团团转。
0,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,在这混乱逼仄的空间，看到他们踊动的身体，听到冗杂的声音，像是在观看一场无聊至级的电影。
1,OOOOOOtOOOOOvvOOOOOOOO,我的额头上的汗像断了线的珠子般，拼命往下流。
1,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOttOOOvvvvOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,天已经悄悄地来到我们身边，春风轻轻地吹红了花，春雨也静静地润绿了叶，朝气蓬勃的我们正像那红花绿叶一样鲜活一样有生命力，而又有谁曾想到过是谁做了那春风春雨默默地滋润着我们呢？
0,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,这时，他红扑扑的脸上挂着晶莹剔透的汗珠，衬衫湿了一大半，双脚像灌了铅似的。
1,OOOOOOOOOttOOOvvOOOOOOOO,现在，我发现哆咪的翅膀已经像扇子一样是花形的了。
1,OOttOOOvvOOOOOOOOOOOOOOOO,它的尾巴像一个棉球，因为它可爱所以我给它取名小黑。
1,OOOOOOtOOOOOOOOOOOvvO,两只可爱的小猴正手拉着手，就像是一个秋千。
1,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOtOOOOOvvO,我个子不高，长得瘦瘦的，妈妈常常因为我不好好吃饭而生气，她经常说我瘦的像只小虾米。
0,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,总是喜欢坐在一个黑暗的角落里，将头埋在膝盖里，外面的喧闹与我无关，就像是将自己从世界中隔离。
0,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,这种旺盛的生命力使生命是确定的，生命的形式将永恒存在，尽管个体在时间中生生死死，像瞬息即逝的梦幻一样。
0,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,其实，国产的动画片在传承中国文化精神这方面还是很有特色的，一些老的动画片历久弥新使人怀念当时的岁月，像《神笔马良》，《三个和尚》，《熊猫百货店》，《哪吒闹海》等，相比今天富有高科技动画效果的卡通片更来得真实与不易，外国人看我们的动画片很大程度上都是为了要追求那种原始的文化。
0,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,在如歌的田野上，枕着金黄色的麦浪，靠着稻草人小憩，风儿拨着麦子“沙沙”作响，那是怎样的音韵，夕阳都陶醉其中，醉醺醺地躺在草地上，搂着我睡着了眯缝着眼，那无孔不入的温暖啊，湿润了眼，湿润了心，像片空白的天飘过了片空白的云，无所谓有，却不可无所谓无，这飘渺的感动婆娑着大地的余温，包含着大自然的香醇。
0,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,回到家我浑身像散了架，想到平日妈妈开门帮我提书包又扶我进屋的情景，才发现一个人的孤独。
1,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOttOOOOOvvOOOOOOOOOO,来到玄武湖，只见一只只蝴蝶停歇在花丛中，走进看却是朵朵鲜艳的蝴蝶花，往里走，微风轻轻的吹着，湖边的杨柳像是无数位少女散了她那一丝丝乌发。
0,OOOOOOOOOOOOOOOOOOOOOOOOOOOOO,我要像阿姨好的行为学习，对于她不好的行为，我希望她能改进。
0,OOOOOOOOOOOOOOOOO,就像人类从不会在自己身上找到错误。
0,OOOOOOOOOOOOOOOOOOOOOOOOOO,我们把它们捡起来，存在脑海深处，就像河蚌捡那粒沙子。
1,OOtOOvvOOOOOOOO,作家梦就像火炬一样，激励着他。
1,OOtOOOOOOOOOOOOvvOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,我的心里过了一会儿又像热锅上的蚂蚁——团团转，可爸爸却在那儿悠闲的钓着，丝毫不为钓不到鱼而苦恼，我暗暗的想：会不会是鱼食错了，我连忙换了一份，然后扔下去，结果，成了！
0,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,一生的旅途很长，无论你们相处的多好，也总会有离别，本就不该总想着友情一定要永远坚固，就像世界上本就不存在永恒一样，世界上从来就不存在永远坚固的东西。
1,OOOttOOOOOOOOOOOOOOvvO,﻿它的形状是又黄又弯的，就像一个弯弯的月牙。
1,tOOOvvvvOOOOOOOOOOOOOOOOOOOOOOOOOO,浪，就像千军万马，势不可挡，我就是他们的将军，站在高高的“站台”上。
1,OOOOOOOOOOOOOOOOOOOOtOOOOOOvO,车主真是细心，还在车子上那个装了一把大红伞，就像天边的云。
1,OOtOOOOOOOOOOOOOOOOOOOOvvvO,有时它禽肉地沁入你的心，有时却像一个无理取闹的小孩子。
1,OOOOOOOOOOOOOOOOOttOOOttOOOvvOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,地球上60亿人口每天生产出大量生活废水和工业污染，就像墨水一样一直注入原本清澈的海水中，现在的大海已经快变成一潭污水，她它发怒了，各种自然灾害接踵而至。
0,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,最使我高兴的是，我挡住了骄阳似火的烈日，给孩子们带来了清凉和欢快，他们把我围得里三层、外三层，在我身下嬉戏，我像是一位名人似的。
1,OOOOOOOOttOOOOOOOvvO,这条怪鱼身体后的鱼鳍长得像人张开的五指。
0,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,我们看得连连叫好，有的拿起了拍照手机照起了像，把那美丽得时刻留住了。
0,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,清澈透明的东西，就像埋没与沙尘之下的真相，或许某一刻劲风便会将表面的一切吹尽，呈现出赤裸裸的真相，湮没在历史的风尘之中，然后再将一切回旋，重现时光的的记忆。
1,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOtttOOOOOvOOOOOOOO,"裁判员右手举起，左手拿着口哨，大声高喊：""各就各位------预备------""，""吱""地口哨声一响，只见小运动员们像离弦的箭似的向前冲去。"""
0,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,不知从哪里溜来一抹新绿，接着，就像早约好似的，树们绽开新芽，碧草绿满山坡，到处是诱人的绿。
0,OOOOOOOOOOOOOOOOOOOOOO,廖邓陆像个指挥官，满面春风的给我们分配工作。
0,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,同学们七嘴八舌地说着，杨老师也说我的腿像八十岁的：“老奶奶”！
1,tOOOOOOOOOOOOvvOOOOOOOO,雪，晶莹剔透，像一颗闪亮的珍宝，让人爱不释手。
0,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,贝贝拿出了零食和孙小圣一起分享，小猴喝了一口牛奶就像中了魔一样，迅速地爬上一根柱子，也不知道哪儿弄来的毛笔，在柱子上写道：“孙小圣到此一游”。
0,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,可这时侯的上帝却像换了一个人似的，笑眯眯地说道：我并非让你们去给我完成一份自认为完美的答卷，我这么做的目的无非是想让你们在不断追求中完善，以造就一个更全面的自我。
1,OttOOOOOOOOOOOvvOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,而自然，就像你朝夕暮想的一个情人，每天鲜活地站在窗外，群居飘舞，芬芳朦胧，等待着你与她的幽会”，就是这样子，窗外面的自由是我们永恒的情人，作在屋里的人应该与她保持一种若即若离的关系，而窗子粉饰了她的美，用距离构造朦胧美，牵引着人们的好奇心。
1,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOvvOttOOOOO,这一天，茅屋里来了一位穿绿棉袄的少女，她带来了厚厚的棉被给老人盖上，还在冷的像冰窖的屋里生起了火。
0,OOOOOOOOOOOOOOOOOOOOOOOOOOO,五老峰，因为五座山峰像五个老人相互遥望，所以叫五老峰。
0,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,也希望能够像这些大师一样，留下很多美好的回忆，给以后的人来看。
1,OOOOOOOOOOOOOOOOOOOOOOOOtttOOOOvvvvOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,人有人的梦想，家有家的梦想，国有国的梦想，我觉得中国梦就像一座高楼大厦，而我们每个人的梦想就是建造这座大厦的一粒沙子，一根铁钉，让我们每个人都努力实现自己的梦想，为实现中国梦添砖加瓦。
0,OOOOOOOOOOOOOOOOOOO,就像李白说的一句名言：天生我才必有用。
0,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,我第一次看见主人如此成熟的一面，像个孩子一瞬间变成了大人，但是初衷不变，那个热血的心也没变。
1,tOOOOOOOOOOOOvvOOOOOOOOOOOOOOOOOOOOOO,它又像是专为樵山定做的白色水帘，挂在本来单调的峭壁上，顿时为樵山增色不少。
0,OOOOOOOOOOOOOOOOOOOO,那感觉就像是被遗弃了的小猫，无助又悲伤。
1,OOOOttOOOvvvvvOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,人与人的相遇像两条相交的直线，或许今后我们会越走越远，但为了那个曾经交汇过的点，我仍要感谢生活。
1,OOOOOOOOOOOOOOOttOOOOOOOOvvOOOOOOOOOOOOOOOOOOO,我走在这片森林中偶尔几声清脆的鸟鸣，就像正在演奏的小曲，多么的安宁，多么的幽静，多么的深邃！
1,OOOOOOOOOOOOOOOOOOOttOOOOOOOOOOOvvO,中秋节最特别的当然就是月亮了，中秋节的月亮可谓是又圆又亮，像个大玉盘。
0,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,长大以后，我总会想，我们之间的沟通从不涉及我们自己，就是因为，我们太像了。
1,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOttOOOOOvvOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,他的离开，让我堕落了，让我的心久久不能平静，被一层愧疚感包围，让我喘不过气来，把头埋在膝盖上，双手抱着双腿，泪水像断了线的珍珠，不由自主地从眼角涌了出来，划过我的脸庞，低落到我的手上。
0,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,在这里特别想向那匹老马道歉，以前呢，经常故意和你对着干，你说东我偏要说西，你指鹿我偏要说成马，其实很多事我都明白，只是不服输的性格让我经常伤害你，虽然你有时在我面前也说了很多偏激的话，可是我知道，你是关心我的，就像大哥哥关心小妹妹，呵呵，啥都不说了，俺写检讨书。
1,OOOOOOOOOOOOOOttOOOOOOOOOOvvO,秋天的田野更是美丽极了，白色棉花一朵一朵，就像天空的白云。
0,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,你常常都会随我一起笑，像是踏出了好学生、重重的奖章、各种荣誉的称号的影子。
1,OOOOOtOvvOOOOOOOOOOOOO,那年秋天，风像行囊一样装走了记忆，装走了你。
0,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,其实，这些人的本性都是善良的，就像文中的哈克贝利一样，不是他不爱学习，才去做小偷的，而是因为他的爸爸是个酒鬼，不管他，他才整天惹是生非的，后来道格拉斯寡妇收养了他，他就好好学习了。
1,OOOOOOOOOOOOOOOOOOOOOOOOOOttOOvvOOOOOOO,一轮金黄的圆月已经高高地挂在天空中，向地上洒下皎洁的月光，像轻纱似的一般温柔。
0,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,像泥土上跑来跑去的狼蜘蛛，壁上的蝇虎、壁钱，还有八脚，都属这一类。
0,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,这些都是我们力所能及的事，只要我们乐意去做的话，那么这些事情就像我所希望的未来生活一样：爱心飞扬！
1,OOOOOOOttOvvOOOOOOO,俗话说得好：“困难像弹簧，看你强不强。
0,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,“人逢喜事尤其乐，月到中秋分外明”，今晚的月亮跟平日里的确实不一样，那圆圆的样子不就像我们这围坐在一起的一家人吗。
1,OOOttOOOOvvOOOOOOOOOOOOOOOO,童年的记忆像一片片叶子，虽然渐渐飘落，但依然翠的耀眼。
0,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,我要让他们学更多的知识，将来像我一样为贫困山区的人献出一片爱心。
0,OOOOOOOOOOOOOOOOOOOOOOOOOO,柳枝一直垂到河面上，像是柳树姑娘在梳洗着自己的秀发。
1,OOOOOOOOOOOOOOOttOOOOOOOOOOOOOvvOOOOOOOO,此时旁边一个人发出慨叹：“城市垃圾就像长在漂亮姑娘脸上的黑色胎记，影响美丽啊”。
0,OOOOOOOOOOOOOOOOOOOOOO,像我这种拿筷子都用左手的人，投篮肯定用左手！
0,OOOOOOOOOOOOOOOOOOOOOOOOOOO,就像图上画的那样，井中固然有水，可井中又怎么会有鱼呢？
0,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,旧社会，像奶奶这样的医生也有不少，他们所用的药品，也都是由当地政府提供。
0,OOOOOOOOOOOOOOOOOOO,像他这样的残疾人都能挖掘全部的生命力。
1,OOttOOOOOvvOOOOOOOOOOOOOOOOOOO,我的梦想就像天上的星星一样多，但是我却不可能将它们一一实现。
1,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOvvOOOttOOOOOOOOOOOO,当然，我们也知道，戴安的内心也是很柔弱的，她也渴望父爱，渴望能有一个像大山一样的爸爸可以依靠，陪伴着她困难。
1,OOOOOOOOOOOOOtOOOOOOOOOOOOOOOOOOOvvO,看，我收获了人生的挫折，但我并不会因此而倒下，就像我瘦弱却坚强的小树苗。
0,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,班内像我一样的人为数不少，不为班内贡献重大的破坏性，但做些小动作，或作弄一个别人，已经习以为常。
0,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,蔚蓝的天空一瞬间乌云密满，天渐渐的暗沉跟着一缕缕轻盈的风儿，雷阵雨，悄悄的来，像有一千个一万个侠客在天上练武。
1,tOOOOOOOOOOvvOOOOOO,她，就像一朵静静绽放的莲花，淡雅幽香。
0,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,站在一个不属于我的城市，我像一个刚出生的小孩一样用所有好奇的眼光打量这一切，但比起小孩我多的又仅仅是恐慌吗？
0,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,小学生活就是这么生气勃勃，充满了欢乐，在这样一个金色童年里没有太多的竞争，嫉妒，攀比......他们在孩提时代爽爽地过了把孩子瘾，和我们的经历真的很像。
0,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,再往锅里倒一点油，还是像刚才那样，烧得冒烟以后放入黄瓜，炒一两分钟以后，再放入鸡蛋，然后炒五六分钟就可以出锅了。
1,OOOOOtOOOOOOOOvvvOOOOOOOO,在生活中，我碰到困难时，要像小人鱼一样坚强的面对。
1,OOOtOOOOOvvOOOOOOOO,父母的爱就像天上的白云，永远不会减少。
0,OOOOOOOOOOOOOO,烤熟了，就像吃妈妈的炒板栗。
0,OOOOOOOOOOOOOOOOOOOOOOOOOO,还可以防止撞击，保护头部，像给头部戴了个安全帽一样。
